formation.name;Period;Age;AlphaForm;BetaSimForm;BetaWForm;GammaForm;CollpF;Duration;RefForm;Environments;Htaxa;maxGCD;medianGCD;madGCD
Dhruma;Jurassic;167.3693662;7.3227;0.928398987;15.37718441;94.964;142;3.45;5;4;3;1714.737907;244.7714663;197.849404
Dinwoody;Triassic;251.8;4.1045;0.896605461;11.55575338;35.582;54;0;6;3;2;556.6193578;222.6477431;165.048772
Dufton Shales;Ordovician;448.27;5.2087;0.82908834;7.56432658;31.962;40;3.2;1;1;2;0;0;0
Echii;Permian;291.0837838;1.9698;0.962459947;31.52162966;29.732;37;7.75;3;1;2;659.2725265;146.8897678;140.5440444
Ellis Bay;Ordovician;444.6153846;4.8731;0.861280896;9.706097555;36.716;104;7.75;6;3;3;182.4765352;71.55707233;106.0905154
Emanuel;Ordovician;475.2173913;4.0973;0.902673824;10.15931898;31.432;23;3.05;2;1;2;111.3238716;55.66198331;82.52431554
Emigrant;Cambrian;508.7192308;2.7802;0.907457743;13.82705369;24.412;52;15.4;3;1;1;0;0;0
Ertang;Devonian;397.4866667;4.7022;0.928750515;13.66784272;50.522;30;8.6;2;1;2;111.3238716;55.66193578;82.52438599
Escales;Jurassic;186.3;2.1156;0.881846628;13.10607775;14.422;33;0;1;2;1;248.1765818;82.72928896;122.6502613
Escondido;Cretaceous;68.3215;7.5415;0.872742331;10.29744115;66.872;113;0;1;1;2;311.2483717;147.5818965;74.45044179
Eugene;Paleogene;35.58404255;11.5284;0.800610177;5.235601615;54.38;47;1.6;3;2;1;111.3238716;55.66198331;82.52431554
Fairview;Ordovician;450.75;6.9204;0.840090583;7.848946545;48.086;67;0;4;2;4;259.5329478;86.51446231;128.2661425
Feixianguan;Triassic;251.8;4.8445;0.915158422;13.79162529;52.832;51;0;10;4;2;895.8809882;333.9716147;226.4769391
Fels?rs;Triassic;244.6;8.2085;0.816415834;8.640800054;62.482;34;0;5;5;2;NA;NA;NA
Fillmore;Ordovician;479.512963;3.9143;0.961303612;20.34516984;58.642;81;18.8;9;3;3;173.0263151;98.91916694;61.81102876
Flags and Grits;Ordovician;462.2;5.2179;0.700269257;3.776716708;15.874;37;0;1;2;2;0;0;0
Flat Top;Permian;262;8.3163;0.812478428;7.018208998;50.512;57;0;9;2;3;111.3238716;55.66193578;82.52438599
Foix;Jurassic;186.3;2.9103;0.821676116;8.645990882;16.354;33;0;1;3;1;81.4166449;40.70832245;60.35415886
Foraker;Carboniferous;300.2230263;6.0163;0.886960738;10.51364928;51.998;152;1.95;7;4;4;453.6119477;142.1008733;119.4187892
Ford;Permian;256.5;7.4662;0.834258306;8.450755167;53.02;86;0;15;3;3;319.195758;120.026757;177.95167
Fort Payne;Carboniferous;346.4267241;13.9216;0.833263614;6.646477666;84.934;58;5.35;5;2;4;286.3698198;88.90678824;131.8132042
Franconia;Cambrian;494.65;5.4546;0.872067143;7.028515993;31.308;27;0;3;2;3;236.1401038;136.7367841;84.79080457
Frasnian moyen;Devonian;379.9;3.2108;0.856089162;8.542123072;18.704;44;0;1;1;1;180.1267617;111.3238716;58.95825656
Galala;Cretaceous;97.25384615;6.8825;0.879476834;13.0115924;75.564;65;5.5;4;2;2;147.5818965;73.79099577;109.4023894
Gaptank;Carboniferous;301.15;10.4222;0.881023568;9.676424542;90.232;41;0;2;2;3;0;0;0
Garden City;Ordovician;477.8919355;4.497;0.957564468;19.35707876;67.244;62;18.8;7;3;3;344.2140457;139.082716;120.0649707
Garra;Devonian;410.8967742;5.7992;0.825623461;15.60640494;76.04;62;3.45;5;2;4;111.3238716;55.66200299;82.52428635
Gatun;Neogene;10.52137245;26.606;0.887724454;10.75526904;272.306;196;3;20;2;2;NA;NA;NA
